,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
2133,Law Offices of Mahesh Bajoria,Certified,H-1B,INDIA,SUNNYVALE,Director,HORIZON TECHNOLOGIES INC,227.0,CALIFORNIA,Master's,UNIVERSITY OF NORTH ALABAMA,BUSINESS ADMINISTRATION,MINNESOTA,2,Computer Systems Analysts,83637.0
2134,,Denied,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,RAJIV GANDHIPRODYOGIKI VISHWAVIDYAIA BHOPAL SCHOOL- SHREE VAISHNAV INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Applications",119662.0
2135,Lamboley Law Firm,Certified,H-1B,INDIA,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Bachelor's,PADMABHUSHAN VASANT DADA COLLEGE OF ENGINEERING,COMPUTER ENGINEERING,CONNECTICUT,2,"Software Developers, Applications",78000.0
2136,"International Legal and Business Services Group, LLP",Certified,H-1B,INDIA,CHANTILLY,CEO,SYSCOM TECHNOLOGIES INC,100.0,VIRGINIA,Master's,INTERNATIONAL TECHNOLOGICAL UNIVERSITY,COMPUTER ENGINEERING(CE),VIRGINIA,2,"Software Developers, Applications",87006.0
2137,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,PALO ALTO,U.S. Immigration Program Manager,"HP ENTERPRISE SERVICES, LLC",331000.0,CALIFORNIA,Bachelor's,GOA INSTITUTE OF MANAGEMENT,BUSINESS ADMINISTRATION,CALIFORNIA,4,Computer Systems Analysts,115669.0
2138,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,INDIA,NEW YORK,"Associate Director, Human Resources","FITCH RATINGS, INC.",1934.0,NEW YORK,Master's,THE UNIVERSITY OF TEXAS AT TYLER,ENGINEERING,NEW JERSEY,2,"Software Developers, Applications",115000.0
2139,Law Offices of Dakshini R. Sen P.C.,Certified,H-1B,INDIA,HOUSTON,Human Resources Manager,"TH HILL ASSOCIATES, INC.",219.0,TEXAS,Master's,UNIVERSITY OF FLORIDA,MECHANICAL ENGINEERING,TEXAS,2,Mechanical Engineers,81806.0
2140,Murthy Law Firm,Certified,H-1B,PORTUGAL,ORLANDO,President,"ALLTOUR AMERICA TRANSPORTATION, INC",80.0,FLORIDA,Bachelor's,UNIVERSIDAD SANTA MARIA,ACCOUNTING,FLORIDA,1,Financial Managers,91900.0
2141,"Zhang and Attorneys, LP",Certified,H-1B,TAIWAN,BOSTON,Executive Director,GREATER BOSTON CHINESE GOLDEN AGE CENTER,98.0,MASSACHUSETTS,Bachelor's,UNIVERSITY OF MASSACHUSETTS,NURSING,MASSACHUSETTS,1,Medical and Health Services Managers,77064.0
2142,"Malik & Popiel, P.C.",Certified,H-1B,INDIA,IRVINE,Asst. V.P. Operations & H.R.,PRELUDE SYSTEMS INC,107.0,CALIFORNIA,Master's,INDIRA GANDHI NATIONAL OPEN UNIVERSITY,COMPUTER APPLICATIONS,CALIFORNIA,2,"Software Developers, Applications",79664.0
2143,Law Offices of KahBo Dye-Chiew,Denied,H-1B,INDIA,HONOLULU,Human Resource Analyst,HAWAII MEDICAL SERVICE ASSOCIATION,1600.0,HAWAII,Master's,TEXAS A&M UNIVERSITY-KINGSVILLE,MECHANICAL ENGINEERING,HAWAII,2,"Software Developers, Applications",67000.0
2144,Sidley Austin LLP,Certified,H-1B,CHINA,CHICAGO,Human Resources,"MORNINGSTAR, INC.",1300.0,ILLINOIS,Other,"WUHAN SCIENCE AND TECHNOLOGY UNIVERSITY, BS",COMPUTER SCIENCE AND TECHNOLOGY,ILLINOIS,1,"Software Developers, Systems Software",74700.0
2145,"Law Offices of Yong Men, P.C.",Certified,H-1B,THAILAND,ATLANTA,Financial Manager,"BBR FRIENDS, LLC",5.0,GEORGIA,Master's,CLEVELAND STATE UNIVERSITY,ACCOUNTANCY,GEORGIA,2,Accountants and Auditors,60000.0
2146,Lamboley Law Firm,Certified,H-1B,INDIA,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Master's,TEXAS A & M INTERNATIONAL UNIVERSITY,MANAGEMENT INFORMATION SYSTEMS,TEXAS,2,"Software Developers, Applications",78000.0
2147,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,INDIA,PHILADELPHIA,Human Resources Administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Master's,SOUTHERN ILLINOIS UNIVERSITY,ELECTRICAL AND COMPUTER ENGINEERING,PENNSYLVANIA,2,Network and Computer Systems Administrators*,72592.0
2148,"Rab & Khan, LLP",Certified,H-1B,SRI LANKA,CHICAGO,President,WAKENSYS CORPORATION,5.0,ILLINOIS,Master's,NORTHEASTERN ILLINOIS UNIVERSITY,COMPUTER SCIENCE,ILLINOIS,2,"Software Developers, Systems Software",81050.0
2149,Murthy Law Firm,Certified,H-1B,INDIA,BLOOMINGDALE,Manager Human Resources,"CYBER KORP, INC",16.0,ILLINOIS,Bachelor's,UTTAR PRADESH TECHNICAL UNIVERSITY,COMPUTER ENGINEERING,ILLINOIS,4,"Software Developers, Applications",111072.0
2150,Berry Appleman & Leiden LLP,Certified,H-1B,FRANCE,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Bachelor's,INSTITUT NATIONAL DES SCIENCES APPLIQUEES,COMPUTER SCIENCE,CALIFORNIA,3,"Software Developers, Applications",117146.0
2151,"Valvo & Associates, Inc.",Certified,H-1B,JAPAN,SAN DIEGO,"General Manager, Administration & Accounting",SUMITRONICS USA INC.,13.0,CALIFORNIA,Master's,SAN DIEGO STATE UNIVERSITY,LINGUISTICS,CALIFORNIA,3,Public Relations Specialists,58968.0
2152,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,SAN DIEGO,Immigration Specialist - Qualcomm HR,QUALCOMM TECHNOLOGIES INC.,26600.0,CALIFORNIA,Master's,"UNIVERSITY OF WISCONSIN, MADISON",ELECTRICAL ENGINEERING,CALIFORNIA,2,"Electronics Engineers, Except Computer",89440.0
2153,Law Office of Garrett White,Certified,H-1B,TURKEY,LITTLE ROCK,Superintendent,LISA ACADEMY,117.0,ARKANSAS,Master's,CUKUROVA UNIVERSITY,GEOLOGICAL ENGINEERING,TEXAS,1,"Education Administrators, Elementary and Secondary School",71500.0
2154,Jackson & Hertogs LLP,Certified,H-1B,HONG KONG,SOUTH SAN FRANCISCO,"Program Manager, Global Mobility North America",GENENTECH,7609.0,CALIFORNIA,Master's,COLUMBIA UNIVERSITY,BIOTECHNOLOGY,CALIFORNIA,0,Biochemists and Biophysicists,74835.0
2155,Barst Mukamal & Kleiner LLP,Certified,H-1B,CHINA,VERNON HILLS,International HR Specialist,TETRA PAK INC,1243.0,ILLINOIS,Associate's,HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,ELECTRONIC ENGINEERING TECHNOLOGY,ILLINOIS,2,Electrical Engineers,82125.0
2156,"Hammond Law Group, LLC",Certified,H-1B,INDIA,DALLAS,President,PRUDENT TECHNOLOGIES AND CONSULTING INC.,47.0,TEXAS,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,COMPUTER SCIENCE & INFORMATION TECHNOLOGY,TEXAS,4,"Software Developers, Applications",108722.0
2157,"JEWELL & ASSOCIATES, PC",Certified,H-1B,MEXICO,REDWOOD CITY,VP of Analytics/Engineering,"SUMO LOGIC, INC",58.0,CALIFORNIA,Bachelor's,TECHNOLOGICAL INSTITUTE OF HIGHER STUDIES OF MONTERREY,COMPUTER ENGINEERING,CALIFORNIA,4,"Software Developers, Systems Software",147472.0
2158,Pappas and Lenzo LLP,Denied,H-1B,INDIA,BOSTON,Project Manager,"CONNECTEDU, INC.",64.0,MASSACHUSETTS,Master's,WORCESTER POLYTECHNIC INSTITUTE,COMPUTER SCIENCE,MASSACHUSETTS,3,Computer and Information Systems Managers,140504.0
2159,FRED D. KULL ATTORNEY & COUNSELOR,Certified,H-1B,MONGOLIA,SEATTLE,DIRECTOR OF HUMAN RESOURCES,"SCHIPPERS & CREW, INC.",83.0,WASHINGTON,Bachelor's,MONGOLIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY SCHOOL OF COMPUTERS SCIENCE AND MANAGEMENT,COMPUTER SCIENCE IN MANUFACTURING ENGINEERING,WASHINGTON,1,"Electronics Engineers, Except Computer",73195.0
2160,Berry Appleman and Leiden LLP,Certified,H-1B,UNITED STATES OF AMERICA,PLANO,Human Resources Representative,DIODES INCORPORATED,139.0,TEXAS,Bachelor's,"VISVESWARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",COMPUTER ENGINEERING,TEXAS,2,Computer Systems Analysts,78660.15
2161,Lamboley Law Firm,Certified,H-1B,TAIWAN,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Master's,CLARK UNIVERSITY,BUSINESS,MASSACHUSETTS,2,Computer Systems Analysts,78000.0
2162,Murthy Law Firm,Certified,H-1B,INDIA,CHICAGO,Director Human Resources,"PROJECT LEADERSHIP ASSOCIATES, INC.",164.0,ILLINOIS,Bachelor's,PURDUE UNIVERSITY,ELECTRICAL ENGINEERING,ILLINOIS,2,Computer and Information Systems Managers,93995.0
2163,Berry Appleman & Leiden LLP,Certified,H-1B,CANADA,DALLAS,Vice President & Senior Corporate Counsel,"XEROX BUSINESS SERVICES, LLC",13300.0,TEXAS,Bachelor's,UNIVERSITY OF SASKATCHEWAN,EDUCATION,NEW YORK,4,Technical Writers,72591.53
2164,Law Office of Stephen M. Perlitsh,Certified,H-1B,INDIA,BRONX,"Chairman, Department of Medicine",BRONX LEBANON HOSPITAL CENTER,3626.0,NEW YORK,Other,NTR UNIVERSITY OF HEALTH SCIENCES,MEDICINE,NEW YORK,1,"Internists, General",130000.0
2165,"STEEL, DOEBLEY & GLASSMAN, P.C.",Certified,H-1B,INDIA,LANCASTER,"Project Manager, Employee Services","ARMSTRONG WORLD INDUSTRIES, INC",10800.0,PENNSYLVANIA,Other,SYMBIOSIS CENTRE FOR DISTANCE LEARNING,LOGISTICS,PENNSYLVANIA,4,Purchasing Managers,103022.0
2166,"Leblang, Mawby, & Litz",Denied,H-1B,ECUADOR,TULSA,CEO,"KEITH & ASSOCIATES, INC.",22.0,OKLAHOMA,Master's,SAGE GRADUATE SCHOOL,FOOD SCIENCE/NUTRITION,COLORADO,2,Dietitians and Nutritionists,40976.0
2167,Law Offices of Henry G. Chow,Certified,H-1B,CHINA,SUNNYVALE,CEO,VIVANTE CORPORATION,115.0,CALIFORNIA,Master's,FUDAN UNIVERSITY,BIOMEDICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Systems Software",109138.0
2168,"THE IRWIN LAW FIRM, LLC",Certified,H-1B,PHILIPPINES,CROWNPOINT,HUMAN RESOURCES MANAGER,DIBE YAZHI HABITIIN OLTA INC. D/B/A BORREGO PASS SCHOOL,51.0,NEW MEXICO,Bachelor's,UNIVERSITY OF SANTO TOMAS,ELEMENTARY EDUCATION,NEW MEXICO,4,"Elementary School Teachers, Except Special Education",55500.0
2169,Murthy Law Firm,Certified,H-1B,FRANCE,ROCKVILLE,CEO,INETXPERTS CORP DBA GET REAL HEALTH,24.0,MARYLAND,Master's,UNIVERSITY OF PARIS 5,COMPUTER INFORMATION SYSTEMS,MARYLAND,4,"Software Developers, Applications",114254.0
2170,"Quarles & Brady, LLP",Certified,H-1B,INDIA,PHOENIX,Executive Director of Human Resources,ROOSEVELT SCHOOL DISTRICT #66,1900.0,ARIZONA,Master's,AJMER UNIVERSITY,ENGLISH LITERATURE,ARIZONA,1,"Elementary School Teachers, Except Special Education",42225.0
2171,Immigration Law Center,Certified,H-1B,BULGARIA,WALTHAM,Owner,FENSU INC,10.0,MASSACHUSETTS,Master's,SUFFOLK UNIVERSITY,ACCOUNTING,MASSACHUSETTS,2,Chief Executives,158454.0
2172,"Rona M. Lum, P.C.",Certified,H-1B,INDIA,DETROIT,"Senior Director, Human Resources","CARACO PHARMACEUTICAL LABORATORIES, LTD.",540.0,MICHIGAN,Master's,STEVENS INSTITUTE OF TECHNOLOGY,PHARMACEUTICAL MANUFACTURING,NEW JERSEY,2,Industrial Engineers,681410.0
2173,"YU, SOUTH & ASSOCIATES PLLC",Certified,H-1B,PERU,DAYTON,SUPERINTENDENT,DAYTON INDEPENDENT SCHOOL DISTRICT,705.0,TEXAS,Bachelor's,PRIVATE UNIVERSITY ANTENOR ORREGO OF TRUJILLO,COMMUNICATION SCIENCE,TEXAS,2,"Kindergarten Teachers, Except Special Education",46500.0
2174,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,UNITED KINGDOM,MALVERN,Human Resources,"SIEMENS MEDICAL SOLUTIONS USA, INC.",60000.0,PENNSYLVANIA,Bachelor's,NORTH LINCOLNSHIRE COLLEGE,ELECTRONIC ENGINEERING TECHNOLOGY,NEVADA,4,Biomedical Engineers,104209.0
2175,"YU, SOUTH & ASSOCIATES, PLLC",Certified,H-1B,MEXICO,DAYTON,SUPERINTENDENT,DAYTON INDEPENDENT SCHOOL DISTRICT,705.0,TEXAS,Bachelor's,UNIVERSIDAD DE AUTONOMA DE CIUDAD JUAREZ,BUSINESS ADMINISTRATION,TEXAS,2,"Elementary School Teachers, Except Special Education",48063.0
2176,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDWOOD SHORES,Immigration Specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Doctorate,DARTMOUTH COLLEGE,COMPUTER SCIENCE,NEW HAMPSHIRE,3,"Software Developers, Systems Software",115000.0
2177,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,INDIA,PLANO,Senior Lead,INFOSYS LTD.,15324.0,TEXAS,Bachelor's,UNIVERSITY OF PUNE,ELECTRICAL AND COMPUTER ENGINEERING,VIRGINIA,1,"Software Developers, Applications",68162.0
2178,"Malik & Popiel, P.C.",Certified,H-1B,INDIA,IRVINE,Asst. V.P. Operations & H.R.,PRELUDE SYSTEMS INC,107.0,CALIFORNIA,Master's,UNIVERSITY OF MADRAS,COMPUTER APPLICATIONS,CALIFORNIA,2,"Software Developers, Applications",79664.0
2179,Weaver Schlenger Mazel LLP,Certified,H-1B,ITALY,SAN FRANCISCO,Director Of Human Resources,"WIKIMEDIA FOUNDATION, INC.",120.0,CALIFORNIA,Doctorate,ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,COGNITIVE SCIENCE,CALIFORNIA,1,Operations Research Analysts,73000.0
2180,"William Y. Sim, P.C.",Certified,H-1B,SOUTH KOREA,HOUSTON,President/Owner,THREE DOORS LLC,4.0,TEXAS,Bachelor's,THE UNIVERSITY OF HOUSTON,ACCOUNTING,TEXAS,1,Accountants and Auditors,45000.0
2181,Lamboley Law Firm,Certified,H-1B,INDIA,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Master's,STRATFORD UNIVERSITY,SOFTWARE ENGINEERING,WISCONSIN,2,Computer Systems Analysts,78000.0
2182,Lamboley Law Firm,Certified,H-1B,INDIA,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Master's,THE UNIVERSITY OF NEW MEXICO,COMPUTER SCIENCE,CONNECTICUT,2,"Software Developers, Applications",78000.0
2183,"Rona M. Lum, P.C.",Certified,H-1B,INDIA,DETROIT,"Senior Director, Human Resources","CARACO PHARMACEUTICAL LABORATORIES, LTD.",540.0,MICHIGAN,Master's,FAIRLEIGH DICKINSON UNIVERSITY,CHEMISTRY (PHARMACEUTICAL CHEMISTRY SPECIALIZATION),NEW JERSEY,2,Chemists,60000.0
2184,Sidley Austin LLP,Certified,H-1B,CHINA,CHICAGO,"Executive Director, Assistant General Counsel",JP MORGAN CHASE & CO,239000.0,ILLINOIS,Doctorate,MASSACHUSETTS INSTITUTE OF TECHONOLOGY,PHYSICAL CHEMISTRY,NEW JERSEY,3,Financial Analysts,135000.0
2185,"Morgan, Lewis & Bockius LLP",Certified,H-1B,INDIA,SAN JOSE,"Sr. Manager, HR Programs and Compliance","BROCADE COMMUNICATIONS SYSTEMS, INC.",3300.0,CALIFORNIA,Master's,SAN JOSE STATE UNIVERSITY,ENGINEERING,CALIFORNIA,2,"Electronics Engineers, Except Computer",107000.0
2186,"Seyfarth Shaw, LLP",Certified,H-1B,CHINA,NATICK,Director of Worldwide Recruiting,"THE MATHWORKS, INC.",2800.0,MASSACHUSETTS,Doctorate,MICHIGAN TECHNOLOGICAL UNIVERSITY,ELECTRICAL ENGINEERING,MASSACHUSETTS,4,"Software Developers, Systems Software",116834.0
2187,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Bachelor's,SHANGHAI JIAO TONG UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,1,"Software Developers, Systems Software",100000.0
2188,"Kidambi & Associates, P.C.",Certified,H-1B,INDIA,GLENDALE,CFO/COO,VENSOFT INC,45.0,ARIZONA,Bachelor's,SREENIVASA INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES,COMPUTER SCIENCE AND ELECTRONICS ENGINEERING,KANSAS,2,Computer Programmers,62275.0
2189,Fragomen Del Rey Bernsen & Loewy LLP,Certified,H-1B,FRANCE,COLUMBUS,Director of Human Resources,"RED ROOF INNS, INC.",4930.0,OHIO,Master's,PEPPERDINE UNIVERSITY,BUSINESS ADMINISTRATION,OHIO,1,Accountants and Auditors,53000.0
2190,The Law Firm of Payal Singh,Certified,H-1B,IRAN,FREMONT,CEO,ETOUCH SYSTEMS CORPORATION,216.0,CALIFORNIA,Master's,SAN JOSE STATE UNIVERSITY,SOFTWARE ENGINEERING,CALIFORNIA,3,"Software Developers, Applications",103522.0
2191,"Zhang and Attorneys, LP",Certified,H-1B,INDIA,NEW YORK,CEO,MGI REPETTI LLP,79.0,NEW YORK,Master's,GUJARAT UNIVERSITY,COMMERCE,NEW JERSEY,4,Accountants and Auditors,106891.0
2192,"THE IRWIN LAW FIRM, LLC",Certified,H-1B,PHILIPPINES,CROWNPOINT,HUMAN RESOURCES MANAGER,DIBE YAZHI HABITIIN OLTA INC. D/B/A BORREGO PASS SCHOOL,51.0,NEW MEXICO,Bachelor's,PHILIPPINE NORMAL COLLEGE,EDUCATION,NEW MEXICO,4,"Elementary School Teachers, Except Special Education",55500.0
2193,Fontes Figueroa Law Group,Certified,H-1B,TURKEY,HOUSTON,Chief Operating Officer,HARMONY PUBLIC SCHOOLS,2200.0,TEXAS,Master's,GAZI UNIVERSITY,MATHEMATICS EDUCATION,TEXAS,1,Instructional Coordinators,60000.0
2194,"Seyfarth Shaw, LLP",Certified,H-1B,VIETNAM,NATICK,Immigration Specialist - Human Resources,"THE MATHWORKS, INC.",2800.0,MASSACHUSETTS,Doctorate,NEW MEXICO STATE UNIVERSITY,ELECTRICAL ENGINEERING,MASSACHUSETTS,4,"Software Developers, Applications",116293.0
2195,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,REDMOND,Microsoft In-House Attorney,MICROSOFT CORPORATION,55000.0,WASHINGTON,Master's,THE OHIO STATE UNIVERSITY,BUSINESS ADMINISTRATION,WASHINGTON,2,Marketing Managers,135000.0
2196,Law Offices of Dakshini R. Sen P.C.,Certified,H-1B,INDIA,AUBURN,President,CUMBERLAND PLASTIC SOLUTIONS,48.0,ALABAMA,Master's,LOUISIANA TECH UNIVERSITY,INDUSTRIAL ENGINEERING,ALABAMA,2,Industrial Engineers,63669.0
2197,Weaver Schlenger Mazel LLP,Certified,H-1B,CANADA,WALNUT CREEK,Director of Human Resources,JOHN MUIR HEALTH,6394.0,CALIFORNIA,Master's,UNIVERSITY OF VICTORIA,HEALTH INFORMATION SCIENCE,CALIFORNIA,4,Mathematicians,114379.0
2198,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,TAIWAN,REDMOND,Microsoft In-House Attorney,MICROSOFT CORPORATION,55000.0,WASHINGTON,Master's,THE UNIVERSITY OF WASHINGTON,VISUAL COMMUNICATION DESIGN (COMMUNICATION DESIGN RELATED),WASHINGTON,2,"Software Developers, Applications",95000.0
2199,"Hallett Law Offices, Ltd.",Denied,H-1B,INDIA,CORAL SPRINGS,HR Manager,"SYNERGY TECHNOLOGIES, LLC",12.0,FLORIDA,Bachelor's,ANNA UNIVERSITY,ENGINEERING/ELECTRONICS,FLORIDA,3,Computer Systems Analysts,88037.0
2200,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,TAIWAN,PHILADELPHIA,Assistant Vice President of Human Resources,TEMPLE UNIVERSITY,6000.0,PENNSYLVANIA,Master's,LEHIGH UNIVERSITY,INSTRUCTIONAL TECHNOLOGY,PENNSYLVANIA,0,Training and Development Specialists,61700.0
2201,"Alan E. Heckler, PC",Certified,H-1B,CHINA,NEW YORK,FINANCE DIRECTOR,"ADMARKETPLACE, INC",85.0,NEW YORK,Master's,POLYTECHNIC INSTITUTE OF NEW YORK UNIVERSITY,COMPUTER SCIENCE,NEW YORK,2,"Software Developers, Systems Software",86050.0
2202,Jackson & Hertogs LLP,Certified,H-1B,INDIA,DALY CITY,Human Resources Manager,"GENESYS TELECOMMUNICATIONS LABORATORIES, INC.",366.0,CALIFORNIA,Bachelor's,DHARMSINH DESAI INSTITUTE OF TECHNOLOGY,COMPUTER ENGINEERING,CALIFORNIA,0,"Software Developers, Applications",100780.0
2203,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,NEW YORK,Senior Vice President & Counsel,ALLIANCEBERNSTEIN L.P.,3366.0,NEW YORK,Master's,CUNY - THE BERNARD M. BARUCH COLLEGE,FINANCIAL ENGINEERING,NEW YORK,2,Financial Analysts,125000.0
2204,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,SANTA CLARA,Global Immigration Program Manager,"AGILENT TECHNOLOGIES, INC.",18500.0,CALIFORNIA,Bachelor's,UNIVERSITY OF MADRAS,ELECTRONIC ENGINEERING,CALIFORNIA,4,Industrial Engineers,105000.0
2205,The Chugh Firm,Certified,H-1B,INDIA,EL DORADO HILLS,Manager Accounting,R SYSTEMS INC,105.0,CALIFORNIA,Master's,PT. RAVISHANKAR SHUKLA UNIVERSITY UNIVERSITY,COMPUTER APPLICATIONS,ARIZONA,3,Computer Programmers,79726.0
2206,Teplen Law Group PLLC,Certified,H-1B,UNITED STATES OF AMERICA,BROOKLYN,Area Corporate HR Manager,BROOKLYN HOTEL MANAGEMENT,44.0,NEW YORK,Master's,LEHIGH UNIVERSITY,ANALYTICAL FINANCE,NEW YORK,2,Accountants and Auditors,72550.0
2207,Quarles & Brady LLP,Certified,H-1B,INDIA,BELOIT,Functional HR Specialist,REGAL BELOIT CORPORATION,4500.0,WISCONSIN,Bachelor's,"ANNA UNIVERSITY, COLLEGE OF ENGINEERING",INDUSTRIAL ENGINEERING,WISCONSIN,4,Computer Systems Analysts,92781.0
2208,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.",Certified,H-1B,MEXICO,REDMOND,Microsoft In-House Attorney,MICROSOFT CORPORATION,58000.0,WASHINGTON,Bachelor's,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERRREY,COMPUTER ENGINEERING,WASHINGTON,1,"Software Developers, Applications",109675.0
2209,"JEWELL & ASSOCIATES, PC",Certified,H-1B,INDIA,CLEVELAND,President & CEO,LINESTREAM TECHNOLOGIES,11.0,OHIO,Master's,UNIVERSITY OF WISCONSIN-MADISON,ELECTRICAL ENGINEERING,OHIO,4,"Software Developers, Systems Software",86000.0
2210,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,WALTHAM,Chief Counsel - Employment,THERMO FISHER SCIENTIFIC,39000.0,MASSACHUSETTS,Master's,WAYNE STATE UNIVERSITY,ELECTRICAL ENGINEERING,NEW YORK,3,"Electronics Engineers, Except Computer",82410.0
2211,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,SAN DIEGO,Immigration Specialist - QUALCOMM HR,QUALCOMM TECHNOLOGIES INC.,26600.0,CALIFORNIA,Master's,UNIVERSITY OF CINCINNATI,ELECTRICAL ENGINEERING,CALIFORNIA,3,"Electronics Engineers, Except Computer",104104.0
2212,"Ramineni Law Associates, LLC",Certified,H-1B,INDIA,ISELIN,Operations Manager,INTONE NETWORKS INC,195.0,NEW JERSEY,Master's,GANNON UNIVERSITY,EMBEDDED SOFTWARE ENGINEERING,PENNSYLVANIA,3,Computer Systems Analysts,89000.0
2213,Law Offices of Stephanie Chang,Certified,H-1B,MALAYSIA,TUSTIN,Vice President,"ADVANCED BOTANICAL CONSULTING & TESTING, INC",23.0,CALIFORNIA,Master's,"EMPORIA STATE UNIVERSITY, EMPORIA, KANSAS",ANALYTICAL CHEMISTRY,CALIFORNIA,2,Chemists,56618.0
2214,"iTech US, Inc.",Certified,H-1B,INDIA,SOUTH BURLINGTON,VP of Operations,ITECH US INC.,352.0,VERMONT,Master's,THE UNIVERSITY OF HOUSTON,ELECTRICAL ENGINEERING,ILLINOIS,4,Computer Systems Analysts,83100.0
2215,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,MCLEAN,Pr. HR Coordinator,"CAPITAL ONE SERVICES, LLC",39000.0,VIRGINIA,Bachelor's,PONDICHERRY UNIVERSITY,ELECTRONIC ENGINEERING,VIRGINIA,4,"Software Developers, Applications",128000.0
2216,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,PLANO,Lead,INFOSYS LTD.,15324.0,TEXAS,Bachelor's,ANNA UNIVERSITY,MECHANICAL ENGINEERING,CALIFORNIA,1,"Software Developers, Applications",68162.0
2217,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,COLUMBUS,"Immigration Specialist, Global Mobility Services",CUMMINS INC.,39800.0,INDIANA,Master's,WEST VIRGINIA UNIVERSITY,MECHANICAL ENGINEERING,INDIANA,2,Architectural and Engineering Managers,91042.0
2218,"Zhang & Attorneys, L.P.",Certified,H-1B,SRI LANKA,TUCSON,Vice President,"IMPROVEMENT INTERACTIVE, LLC",21.0,ARIZONA,Master's,MAHARISHI UNIVERSITY OF MANAGEMENT,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",90000.0
2219,Lamboley Law Firm,Certified,H-1B,INDIA,GLASTONBURY,HR Manager,"SAGARSOFT, INC",95.0,CONNECTICUT,Master's,VEL SRI RANGA SUNKU COLLEGE,COMPUTER INFORMATION SYSTEMS,WASHINGTON,2,"Software Developers, Applications",78000.0
2220,Attorney at Law,Certified,H-1B,TAIWAN,NEW YORK,Partner/Executive Vice President,THE EXECU|SEARCH GROUP,140.0,NEW YORK,Doctorate,NEW YORK UNIVERSITY,OCCUPATIONAL THERAPY,NEW YORK,2,Occupational Therapists,69300.0
2221,Baker & McKenzie LLP,Denied,H-1B,SOUTH KOREA,JERSEY CITY,Senior Human Resources Business Partner,"RBC CAPITAL MARKETS, LLC",7122.0,NEW JERSEY,Bachelor's,NEW YORK UNIVERSITY - STERN SCHOOL OF BUSINESS,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR AND FINANCE,NEW YORK,1,Computer Systems Analysts,60000.0
