,add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_education_other,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_postal_code,foreign_worker_info_rel_occup_exp,foreign_worker_info_req_experience,foreign_worker_info_state,foreign_worker_info_training_comp,foreign_worker_ownership_interest,foreign_worker_yr_rel_edu_completed,fw_info_alt_edu_experience,fw_info_birth_country,fw_info_education_other,fw_info_postal_code,fw_info_rel_occup_exp,fw_info_req_experience,fw_info_training_comp,fw_info_yr_rel_edu_completed,fw_ownership_interest,ji_foreign_worker_live_on_premises,ji_fw_live_on_premises,ji_live_in_dom_svc_contract,ji_live_in_domestic_service,ji_offered_to_sec_j_foreign_worker,ji_offered_to_sec_j_fw,job_info_alt_cmb_ed_oth_yrs,job_info_alt_combo_ed,job_info_alt_combo_ed_exp,job_info_alt_combo_ed_other,job_info_alt_field,job_info_alt_field_name,job_info_alt_occ,job_info_alt_occ_job_title,job_info_alt_occ_num_months,job_info_combo_occupation,job_info_education,job_info_education_other,job_info_experience,job_info_experience_num_months,job_info_foreign_ed,job_info_foreign_lang_req,job_info_job_req_normal,job_info_job_title,job_info_major,job_info_training,job_info_training_field,job_info_training_num_months,job_info_work_city,job_info_work_postal_code,job_info_work_state,naics_2007_us_code,naics_2007_us_title,naics_code,naics_title,naics_us_code,naics_us_code_2007,naics_us_title,naics_us_title_2007,orig_case_no,orig_file_date,preparer_info_emp_completed,preparer_info_title,pw_amount_9089,pw_determ_date,pw_expire_date,pw_job_title_908,pw_job_title_9089,pw_level_9089,pw_soc_code,pw_soc_title,pw_source_name_9089,pw_source_name_other_9089,pw_track_num,pw_unit_of_pay_9089,rec_info_barg_rep_notified,recr_info_barg_rep_notified,recr_info_coll_teach_comp_proc,recr_info_coll_univ_teacher,recr_info_employer_rec_payment,recr_info_first_ad_start,recr_info_job_fair_from,recr_info_job_fair_to,recr_info_on_campus_recr_from,recr_info_on_campus_recr_to,recr_info_pro_org_advert_from,recr_info_pro_org_advert_to,recr_info_prof_org_advert_from,recr_info_prof_org_advert_to,recr_info_professional_occ,recr_info_radio_tv_ad_from,recr_info_radio_tv_ad_to,recr_info_second_ad_start,recr_info_sunday_newspaper,recr_info_swa_job_order_end,recr_info_swa_job_order_start,refile,ri_1st_ad_newspaper_name,ri_2nd_ad_newspaper_name,ri_2nd_ad_newspaper_or_journal,ri_campus_placement_from,ri_campus_placement_to,ri_coll_tch_basic_process,ri_coll_teach_pro_jnl,ri_coll_teach_select_date,ri_employee_referral_prog_from,ri_employee_referral_prog_to,ri_employer_web_post_from,ri_employer_web_post_to,ri_job_search_website_from,ri_job_search_website_to,ri_layoff_in_past_six_months,ri_local_ethnic_paper_from,ri_local_ethnic_paper_to,ri_posted_notice_at_worksite,ri_pvt_employment_firm_from,ri_pvt_employment_firm_to,ri_us_workers_considered,schd_a_sheepherder,us_economic_sector,wage_offer_from_9089,wage_offer_to_9089,wage_offer_unit_of_pay_9089,wage_offered_from_9089,wage_offered_to_9089,wage_offered_unit_of_pay_9089
10,,,,,PERM,A-08057-27232,,,Withdrawn,H-1B,,INDIA,2012-03-05,4833 RUGBY AVE.,SUITE 500,BETHESDA,,,"AQUAS, INC.",,,,20814.0,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethesda,,MD,541511,Custom Computer Programming Services,,,,,,,,,,,59758.0,,,,Computer Programmer,Level II,15-1021.00,Computer Programmers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,60000.0,,yr,,,
11,,,,,PERM,A-08058-28001,,,Certified,H-1B,,SINGAPORE,2012-01-06,"525 BROADWAY, SUITE 201",,NEW YORK,,,NINE MUSES AND APOLLO INC,,,,10012.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,,,,,,,,,,46176.0,,,,Public Relations Specialist,Level II,27-3031.00,Public Relations Specialists,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,50000.0,,yr,,,
12,,,,,PERM,A-08076-33611,,,Certified,H-1B,,RUSSIA,2012-01-26,220 MIDLAND AVENUE,,SADDLE BROOK,,,"FASTPULSE TECHNOLOGY, INC.",,,,7663.0,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saddle Brook,,NJ,541512,Computer Systems Design Services,,,,,,,,,,,34.3,,,,Electronic Engineer,Level II,17-3023.00,Electrical and Electronic Engineering Technicians,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,34.3,,hr,,,
13,,,,,PERM,A-08085-36053,,,Certified,H-1B,,INDIA,2011-12-09,301 PERIMETER CENTER NORTH,SUITE 200,ATLANTA,,,"INTEC BILLING, INC",,,,30346.0,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,GA,541511,Custom Computer Programming Services,,,,,,,,,,,74672.0,,,,Network Systems & Data Communications Analyst,Level IV,15-1081.00,Network Systems and Data Communications Analysts,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,80000.0,,yr,,,
14,,,,,PERM,A-08104-41821,,,Certified,,,MEXICO,2012-01-30,4700 ANNAPOLIS RD.,,BLADENSBURG,,,"ERNEST MAIER, INC.",,,,20710.0,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blandesburg,,MD,327121,Brick and Structural Clay Tile Manufacturing,,,,,,,,,,,36691.0,,,,Brickmasons and Blockmasons,Level I,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,36691.0,,yr,,,
15,,,,,PERM,A-08120-47187,,,Certified-Expired,EWI,,ECUADOR,2011-10-13,170 CHERRY VALLEY AVENUE,,WEST HEMPSTEAD,,,NIKO DEVELOPMENT CORP,,,,11552.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST HEMPTEAD,,NY,238320,Painting and Wall Covering Contractors,,,,,,,,,,,15.64,,,,"Painters, Construction and Maintenance",Level II,47-2141.00,"Painters, Construction and Maintenance",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,15.64,,hr,,,
16,,,,,PERM,A-08127-49255,,,Certified,H-1B,,INDIA,2011-12-05,103 MORGAN LANE,SUITE 102,PLAINSBORO,,,"COMPUNNEL SOFTWARE GROUP, INC.",,,,8536.0,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONMOUTH JN.,,NJ,541511,Custom Computer Programming Services,,,,,,,,,,,28.05,,,,SYSTEMS ANALYST,Level I,15-1051.00,Computer Systems Analysts,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,28.05,,hr,,,
17,,,,,PERM,A-08148-55775,,,Certified,,,CANADA,2012-03-26,7215 35 AVENUE,,JACKSON HEIGHTS,,,V.H.C. USA INCD/B/A VITAMIN HOMEOPTAHY CENTER,,,,11372.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON HEIGHTS,,NY,44619,Other Health and Personal Care Stores,,,,,,,,,,,12.06,,,,RETAIL SALESPERSONS,Level III,41-2031.00,Retail Salespersons,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,12.5,,hr,,,
18,,,,,PERM,A-08162-60225,,,Denied,EWI,,MEXICO,2011-10-07,206 HARRISON AVENUE,,LODI,,,"VITAMIA PASTA BOY, INC",,,,7644.0,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LODI,,NJ,722110,Full-Service Restaurants,,,,,,,,,,,10.37,,,,"Bakers, Bread and Pastry",Level II,51-3011.01,"Bakers, Bread and Pastry",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality,10.37,,hr,,,
19,,,,,PERM,A-08164-61023,,,Certified,,,POLAND,2011-12-13,1400 W. 171ST ST.,,EAST HAZEL CREST,,,REFIX TRUCK & TRAILER REPAIR,,,,60429.0,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Hazel Crest,,IL,81111,Automotive Mechanical and Electrical Repair and Maintenance,,,,,,,,,,,10.83,,,,Welder/Cutter,Level I,51-4121.00,"Welders, Cutters, Solderers, and Brazers",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automotive,12.0,,hr,,,
20,,,,,PERM,A-08176-64095,,,Certified,H-1B,,VENEZUELA,2011-11-03,"13455 NOEL ROAD, SUITE 1500",,DALLAS,,,HSB SOLOMON ASSOCIATES LLC,,,,75240.0,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,TX,541,"Professional, Scientific, and Technical Services",,,,,,,,,,,141731.0,,,,Engineering Managers,Level IV,11-9041.00,Engineering Managers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,141731.0,,yr,,,
21,,,,,PERM,A-08182-66284,,,Certified-Expired,E-1,,JAPAN,2011-10-06,"18 EAST 41ST STREET, 3RD FL.",,NEW YORK,,,"WORLD JOINT CORP. D/B/A IACE TRAVEL, INC.",,,,10017.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torrance,,CA,561510,Travel Agencies,,,,,,,,,,,89336.0,,,,Computer Software Engineer,Level III,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality,89336.0,,yr,,,
22,,,,,PERM,A-08190-68131,,,Denied,B-2,,SOUTH AFRICA,2012-01-23,7803 ROYAL CREST DR.,,JACKSONVILLE,,,KANTICORP.DBA EMERSON INN,,,,32256.0,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacksonville,,FL,721110,Hotels (except Casino Hotels) and Motels,,,,,,,,,,,21.58,,,,Lodging Managers,Level II,11-9081.00,Lodging Managers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality,21.58,,hr,,,
23,,,,,PERM,A-08190-68200,,,Denied,EWI,,MEXICO,2011-10-12,106 ALBANY STREET,,NEW BRUNSWICK,,,MAMCO INC. DBA: OLD MAN RAFFERTY'S,,,,8901.0,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW BRUNSWICK,,NY,722110,Full-Service Restaurants,,,,,,,,,,,18.31,,,,Chefs and Head Cooks,Level I,35-1011.00,Chefs and Head Cooks,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality,18.31,,hr,,,
24,,,,,PERM,A-08271-91261,,,Denied,H-1B,,CHINA,2012-02-16,850 BARRET AVE,,LOUISVILLE,,,LOUISVILLE (JEFFERSON COUNTY) METRO GOVERNMENT,,,,40204.0,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,,KY,,,,,,,,,,,,,,,,,,,17-2081.00,Environmental Engineers,OES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,,yr,,,
25,,,,,PERM,A-08200-71216,,,Withdrawn,H-1B,,RUSSIA,2011-10-14,ONE TAKEDA PARKWAY,,DEERFIELD,,,"TAKEDA PHARMACEUTICALS NORTH AMERICA, INC.",,,,60015.0,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deerfield,,IL,325412,Pharmaceutical Preparation Manufacturing,,,,,,,,,,,62088.0,,,,Accountants and Auditors,Level III,13-2011.02,Auditors,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,66000.0,,yr,,,
26,,,,,PERM,A-08203-71676,,,Certified-Expired,,,MEXICO,2011-10-21,P.O. BOX 3029,,ROCK SPRINGS,,,"ROCKY MOUNTAIN CASING CREWS, INC.",,,,82902.0,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Springs,,WY,23712,Oil and Gas Pipeline and Related Structures Construction,,,,,,,,,,,15.82,,,,Assistant Operator,Level I,47-5012.00,"Rotary Drill Operators, Oil and Gas",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,15.82,,hr,,,
27,,,,,PERM,A-08211-73870,,,Denied,EWI,,MEXICO,2011-10-11,"287 BEDFORD, AVENUE",,BROOKLYN,,,"L.A. BURRITO,  INC",,,,11211.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,NY,722110,Full-Service Restaurants,,,,,,,,,,,12.9,,,,"Cooks, Restaurant",Level III,35-2014.00,"Cooks, Restaurant",OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality,12.9,,hr,,,
28,,,,,PERM,A-08211-74089,,,Certified,H-1B,,INDIA,2012-02-07,55 EAST 52ND ST.,27TH FLOOR,NEW YORK,,,"MCKINSEY & COMPANY, INC UNITED STATES",,,,10022.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,GA,54161,Management Consulting Services,,,,,,,,,,,38646.0,,,,Operations Research Analyst,Level I,15-2031.00,Operations Research Analysts,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,130000.0,,yr,,,
29,,,,,PERM,A-08212-74295,,,Denied,,,INDIA,2011-11-15,1430 YANKEE PARK PLACE,,DAYTON,,,"INDUS VALLEY CONSULTANTS, INC",,,,45458.0,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dayton,,OH,541511,Custom Computer Programming Services,,,,,,,,,,,77272.0,,,,Software Engineer,Level III,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,77272.0,,yr,,,
30,,,,,PERM,A-08220-76622,,,Denied,EWI,,ECUADOR,2011-10-25,28-18 31TH STREET,SUITE-201,ASTORIA,,,VORDONIA CONTRACTING & SUPLIES CORP,,,,11102.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA,,NY,23,Construction,,,,,,,,,,,15.8,,,,Construction Carpenters,Level I,47-2031.01,Construction Carpenters,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,15.8,,hr,,,
31,,,,,PERM,A-08221-77017,,,Denied,EWI,,MEXICO,2011-11-03,3579 VICTORY BLVD,,STATEN ISLAND,,,"VICTORY PRODUCE,LLC.  DBA TOP TOMATO",,,,10314.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEN ISLAND,,NY,445230,Fruit and Vegetable Markets,,,,,,,,,,,12.23,,,,First-Line Supervisors and Manager/Supervisors - Logging Workers,Level I,45-1011.05,First-Line Supervisors and Manager/Supervisors - Logging Workers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,12.23,,hr,,,
32,,,,,PERM,A-08221-77195,,,Certified,H-1B,,PHILIPPINES,2011-12-29,412 SOUTH MAIN STREET,,GREENVILLE,,,GREENVILLE PUBLIC SCHOOL DISTRICT,,,,38702.0,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenville,,MS,61111,Elementary and Secondary Schools,,,,,,,,,,,23340.0,,,,Teacher,Level I,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,37476.0,,yr,,,
33,,,,,PERM,A-08224-77312,,,Certified,H-1B,,TURKEY,2012-02-16,ONE TECHNOLOGY WAY,,NORWOOD,,,ANALOG DEVICES INC.,,,,2062.0,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilmington,,MA,334413,Semiconductor and Related Device Manufacturing,,,,,,,,,,,88130.0,,,,Electronics Engineers,Level III,17-2072.00,"Electronics Engineers, Except Computer",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,88130.0,96000.0,yr,,,
